index,distance,label
3882,0.7084113799627563,1
2190,0.9524099930866665,0
4166,0.963772479537145,0
3364,0.9716187436617145,0
616,0.9716987192937042,1
557,0.9736529431650612,0
534,0.9758500391770342,1
3152,0.9767099726115752,0
571,0.9859138213130547,1
1001,0.989366635401493,0
647,0.9907601906490731,1
4098,0.9938382869938379,0
519,0.993916791858478,1
3285,0.9954271821983609,0
3394,0.9960295080650896,0
775,0.9960854339814365,0
599,0.9968548604344042,1
3898,0.9975792971736606,0
617,0.9979565257441968,0
497,0.9980137555665137,0
