index,distance,label
1626,0.49609284537996506,1
1623,0.5600135742357523,1
3903,0.6081533889878957,1
1639,0.6727721618495007,1
3020,0.6796138890472415,0
3563,0.7067034918579089,0
1199,0.7107467577029236,0
4746,0.7131717498015656,0
3926,0.7158257094057946,0
1464,0.7177974738637131,0
939,0.7183139723375384,0
941,0.7184109713329994,0
4167,0.7224926321625004,0
1658,0.7243081759243546,0
1593,0.7274146873049924,0
940,0.729729815264099,0
1573,0.7301540869161304,0
1887,0.7338245092118141,0
901,0.7354904746844245,0
4304,0.7376205451249699,0
