index,distance,label
3260,0.750668068833181,1
4345,0.8100278178336231,1
2382,0.8256821043052474,1
3012,0.8443787720950792,1
3255,0.8515120129727307,1
3169,0.8643731514293779,1
3958,0.8667761791138351,1
1315,0.8696020703197207,1
3839,0.8738255861045782,1
461,0.8754490722219692,1
1309,0.8779659568820831,1
1322,0.8815284149488215,1
3548,0.882423426939475,1
3602,0.9069021136256489,1
1332,0.9114978546333495,1
924,0.9241736252813418,0
1359,0.9309719831010388,1
4161,0.9336891698828964,0
970,0.9362254067357405,0
1301,0.9376733676835952,1
